episode,reward,drop_rate,avg_lat,avg_eng,loss
468,-62.0817,0.005,0.2649,1.9794,8.756315
469,-54.6186,0.0,0.2729,1.9295,8.376616
470,-55.5428,0.0,0.277,1.9624,8.474223
471,-54.0304,0.0,0.2718,1.9012,7.201373
472,-60.286,0.0,0.2446,1.9346,7.04931
473,-57.8796,0.0,0.2483,1.9385,6.842289
474,-57.2768,0.0,0.2569,1.9679,7.119948
475,-60.4527,0.0,0.2399,1.9095,7.048762
476,-56.7628,0.0,0.2526,1.9091,6.871094
477,-58.848,0.0,0.2435,1.9328,6.673145
478,-65.4419,0.0,0.2465,1.9086,8.056239
479,-66.3023,0.0,0.2276,1.8822,8.002179
480,-70.221,0.0,0.2414,1.9069,10.705315
481,-71.4562,0.0,0.2253,1.8518,9.10824
482,-69.8574,0.0,0.2488,1.8995,9.347503
483,-70.0543,0.0,0.2377,1.9076,9.946059
484,-71.4787,0.0,0.2422,1.8758,12.005116
485,-68.7563,0.0,0.2558,1.9417,10.925955
486,-71.6586,0.0,0.2426,1.9602,10.842407
487,-66.1829,0.0,0.2434,1.9268,11.221311
488,-60.5878,0.0,0.255,1.9235,11.170311
489,-59.0564,0.0,0.2467,1.8942,10.107218
490,-56.459,0.0,0.2453,1.9135,9.189455
491,-54.9687,0.0,0.2526,1.873,8.524454
492,-62.5869,0.005,0.2548,1.9013,9.488257
493,-61.0029,0.005,0.2593,1.9512,9.098619
494,-57.1378,0.0,0.2554,1.9393,7.733753
495,-56.2941,0.0,0.2559,1.8962,7.45988
496,-51.12,0.0,0.2469,1.903,7.02454
497,-53.9995,0.0,0.2412,1.9189,7.272057
498,-62.3398,0.005,0.257,1.8923,7.107643
499,-79.0934,0.015,0.2632,1.9452,18.086899
500,-58.5838,0.0,0.26,1.9172,7.804244
