episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
207,-78.1106,0.01,0.2763,1.8089,0.310498,0.01,41400,0.255,0.385,0.12,0.095
208,-82.9253,0.01,0.3054,1.799,0.310149,0.01,41600,0.23,0.325,0.13,0.18
209,-89.7733,0.015,0.3021,1.7996,0.309952,0.01,41800,0.255,0.28,0.155,0.1
210,-82.047,0.01,0.2737,1.8512,0.309742,0.01,42000,0.335,0.315,0.07,0.125
211,-88.5356,0.01,0.2908,1.8594,0.309423,0.01,42200,0.23,0.34,0.075,0.11
212,-92.5811,0.02,0.2826,1.7562,0.30899,0.01,42400,0.32,0.275,0.125,0.13
213,-88.9575,0.015,0.2908,1.8987,0.308742,0.01,42600,0.325,0.275,0.105,0.125
214,-94.7867,0.015,0.3177,1.8276,0.30846,0.01,42800,0.265,0.24,0.205,0.115
215,-101.4337,0.025,0.2844,1.7513,0.308162,0.01,43000,0.205,0.385,0.13,0.145
216,-81.1145,0.005,0.2854,1.7939,0.307844,0.01,43200,0.285,0.33,0.14,0.2
217,-81.3272,0.01,0.2908,1.8036,0.307547,0.01,43400,0.3,0.29,0.145,0.12
218,-86.681,0.01,0.3022,1.7119,0.307214,0.01,43600,0.19,0.36,0.16,0.13
219,-86.9146,0.01,0.2855,1.8814,0.307011,0.01,43800,0.295,0.37,0.135,0.08
220,-78.676,0.005,0.2699,1.8014,0.306786,0.01,44000,0.395,0.315,0.11,0.12
221,-94.1701,0.02,0.3043,1.8142,0.306428,0.01,44200,0.3,0.23,0.175,0.145
222,-87.5619,0.01,0.3079,1.8519,0.306179,0.01,44400,0.235,0.32,0.12,0.195
223,-81.4232,0.005,0.2786,1.8458,0.305992,0.01,44600,0.255,0.38,0.105,0.165
224,-83.1877,0.005,0.2901,1.833,0.305773,0.01,44800,0.2,0.405,0.1,0.17
225,-93.9164,0.015,0.2834,1.7696,0.305452,0.01,45000,0.265,0.31,0.125,0.135
226,-84.7494,0.01,0.287,1.8278,0.305209,0.01,45200,0.335,0.3,0.14,0.135
227,-88.5888,0.015,0.303,1.8349,0.304988,0.01,45400,0.36,0.215,0.12,0.185
228,-100.7243,0.015,0.2932,1.8851,0.304775,0.01,45600,0.5,0.075,0.15,0.06
229,-94.7077,0.015,0.2839,1.8648,0.304427,0.01,45800,0.235,0.405,0.135,0.11
230,-84.6488,0.015,0.2802,1.8839,0.304292,0.01,46000,0.34,0.315,0.135,0.145
231,-84.6371,0.01,0.2972,1.7396,0.304208,0.01,46200,0.24,0.365,0.15,0.17
232,-90.1828,0.01,0.305,1.8005,0.304011,0.01,46400,0.295,0.255,0.14,0.2
233,-90.1155,0.01,0.2858,1.8109,0.303595,0.01,46600,0.345,0.25,0.105,0.1
234,-93.0777,0.01,0.3114,1.8583,0.303304,0.01,46800,0.39,0.105,0.185,0.1
235,-93.9473,0.01,0.3077,1.8104,0.302955,0.01,47000,0.41,0.09,0.17,0.075
236,-76.4522,0.005,0.2769,1.8631,0.302662,0.01,47200,0.37,0.28,0.105,0.145
237,-111.6536,0.035,0.2839,1.7258,0.302406,0.01,47400,0.295,0.31,0.125,0.17
